Genre,SubGenre,SubSubGenre,SubSubSubGenre
Dance (EDM),House,Tech House,
Dance (EDM),House,Tribal House,
Dance (EDM),House,Tropical House,
Dance (EDM),House,UK Hard House,
Dance (EDM),House,US Garage,
Dance (EDM),House,Vocal House,
Dance (EDM),Jackin House,,
Dance (EDM),Jungle / Drum’n’bass,,
Dance (EDM),Liquid Dub,,
Dance (EDM),Regstep,,
Dance (EDM),Speedcore,,
Dance (EDM),Techno,Acid Techno,
Dance (EDM),Techno,Detroit Techno,
Dance (EDM),Techno,Free Tekno,
Dance (EDM),Techno,Ghettotech,
Dance (EDM),Techno,Minimal,
Dance (EDM),Techno,Nortec,
Dance (EDM),Techno,Schranz,
Dance (EDM),Techno,Techno-Dnb,
Dance (EDM),Techno,Technopop,
Dance (EDM),Techno,Tecno Brega,
Dance (EDM),Techno,Toytown Techno,
Dance (EDM),Trance,Acid Trance,
Dance (EDM),Trance,Acid-House,
Dance (EDM),Trance,Classic Trance,
Dance (EDM),Trance,Dark Psy,
Dance (EDM),Trance,Deep House,
Dance (EDM),Trance,Dream Trance,
Dance (EDM),Trance,Goa Trance,
Dance (EDM),Trance,Goa Trance,Dark Psytrance
Dance (EDM),Trance,Goa Trance,Full on
Dance (EDM),Trance,Goa Trance,Psybreaks
Dance (EDM),Trance,Goa Trance,Psyprog
Dance (EDM),Trance,Goa Trance,Suomisaundi
Dance (EDM),Trance,Hard Trance,
Dance (EDM),Trance,Prog. Trance,
Dance (EDM),Trance,Psy-Trance,
Dance (EDM),Trance,Minimal Techno,
Dance (EDM),Trance,Tech House,
Dance (EDM),Trance,Tech Trance,
Dance (EDM),Trance,Uplifting Trance,
Dance (EDM),Trance,Uplifting Trance,Orchestral Uplifting
Dance (EDM),Trance,Vocal Trance,
Dance (EDM),Trap,,
Disney,,,
Easy Listening,Background,,
Easy Listening,Bop,,
Easy Listening,Elevator,,
Easy Listening,Furniture,,
Easy Listening,Lounge,,
Easy Listening,Middle of the Road,,
Easy Listening,Swing,,
Electronic,2-Step (thx Ran’dom Haug),,
Electronic,8bit,,
Electronic,Ambient,Ambient Dub,
Electronic,Ambient,Ambient House,
Electronic,Ambient,Ambient Techno,
Electronic,Ambient,Dark Ambient,
Electronic,Ambient,Drone Music,
Electronic,Ambient,Illbient,
Electronic,Ambient,Isolationism,
Electronic,Ambient,Lowercase,
Electronic,Asian Underground,,
Electronic,Bassline,,
Electronic,Chillwave,,
Electronic,Chiptune,Bitpop,
Electronic,Chiptune,Game Boy,
Electronic,Chiptune,Nintendocore,
Electronic,Chiptune,Video Game Music,
Electronic,Chiptune,Yorkshire Bleeps and Bass,
Electronic,Crunk,,
Electronic,Downtempo,Acid Jazz,
Electronic,Downtempo,Balearic Beat,
Electronic,Downtempo,Chill Out,
Electronic,Downtempo,Dub Music,
Electronic,Downtempo,Dubtronica,
Electronic,Downtempo,Ethnic Electronica,
Electronic,Downtempo,Moombahton,
Electronic,Downtempo,Nu Jazz,
Electronic,Downtempo,Trip Hop,
Electronic,Drum & Bass,Darkcore,
Electronic,Drum & Bass,Darkstep,
Electronic,Drum & Bass,Drumfunk,
Electronic,Drum & Bass,Drumstep,
Electronic,Drum & Bass,Hardstep,
Electronic,Drum & Bass,Intelligent Drum and Bass,
Electronic,Drum & Bass,Jump-Up,
Electronic,Drum & Bass,Liquid Funk,
Electronic,Drum & Bass,Neurofunk,
Electronic,Drum & Bass,Oldschool Jungle,Darkside Jungle
Electronic,Drum & Bass,Oldschool Jungle,Ragga Jungle
Electronic,Drum & Bass,Raggacore,
Electronic,Drum & Bass,Sambass,
Electronic,Drum & Bass,Techstep,
Electronic,Electro,Crunk,
Electronic,Electro,Electro Backbeat,
Electronic,Electro,Electro-Grime,
Electronic,Electro,Electropop,
Electronic,Electro-swing,,
Electronic,Electroacoustic,Acousmatic Music,
Electronic,Electroacoustic,Computer Music,
Electronic,Electroacoustic,Electroacoustic Improvisation,
Electronic,Electroacoustic,Field Recording,
Electronic,Electroacoustic,Live Coding,
Electronic,Electroacoustic,Live Electronics,
Electronic,Electroacoustic,Soundscape Composition,
Electronic,Electroacoustic,Tape Music,
Electronic,Electronica,Berlin School,
Electronic,Electronica,Chillwave,
Electronic,Electronica,Electronic Art Music,
Electronic,Electronica,Electronic Dance Music,
Electronic,Electronica,Folktronica,
Electronic,Electronica,Freestyle Music,
Electronic,Electronica,Glitch,
Electronic,Electronica,Idm,
Electronic,Electronica,Laptronica,
Electronic,Electronica,Skweee,
Electronic,Electronica,Sound Art,
Electronic,Electronica,Synthcore,
Electronic,Electronic Rock,Alternative Dance,Baggy
Electronic,Electronic Rock,Alternative Dance,Madchester
Electronic,Electronic Rock,Dance-Punk,
Electronic,Electronic Rock,Dance-Rock,
Electronic,Electronic Rock,Dark Wave,
Electronic,Electronic Rock,Electroclash,
Electronic,Electronic Rock,Electronicore,
Electronic,Electronic Rock,Electropunk,
Electronic,Electronic Rock,Ethereal Wave,
Electronic,Electronic Rock,Indietronica,
Electronic,Electronic Rock,New Rave,
Electronic,Electronic Rock,Space Rock,
Electronic,Electronic Rock,Synthpop,
Electronic,Electronic Rock,Synthpunk,
Electronic,Eurodance,Bubblegum Dance,
Electronic,Eurodance,Italo Dance,
Electronic,Eurodance,Turbofolk,
Electronic,Hardstyle,,
Electronic,Hi-Nrg,Eurobeat,
Electronic,Hi-Nrg,Hard Nrg,
Electronic,Hi-Nrg,New Beat,
Electronic,IDM/Experimental,,
Electronic,Industrial,,
Electronic,Trip Hop,,
Electronic,Vaporwave,Hyponagogic,
Electronic,Vaporwave,Vektroid,
Electronic,Vaporwave,Mallsoft,
Electronic,Vaporwave,Vaportrap,
Electronic,Vaporwave,Vaporhop,
Electronic,Vaporwave,Protovapor,
Electronic,UK Garage,2-Step,
Electronic,UK Garage,4×4,
Electronic,UK Garage,Bassline,
Electronic,UK Garage,Grime,
Electronic,UK Garage,Speed Garage,
Enka,,,
French Pop,American Folk Revival,,
Folk Music,Anti-Folk,,
Folk Music,British Folk Revival,,
Folk Music,Contemporary Folk,,
Folk Music,Filk Music,,
Folk Music,Freak Folk,,
Folk Music,Indie Folk,,
Folk Music,Industrial Folk,,
Folk Music,Neofolk,,
Folk Music,Progressive Folk,,
Folk Music,Psychedelic Folk,,
Folk Music,Sung Poetry,,
Folk Music,Techno-Folk,,
German Folk,Volksmusik,,
German Folk,Schlager,,
German Folk,Oompah,,
German Folk,Liedermacher,,
German Folk,Neue Deutche Welle (NDW),,
German Folk,Alpenrock,,
German Folk,Krautrock,,
German Folk,Deutche Hip Hop,,
German Folk,Mittelater Rock,,
German Folk,Yodeling,,
German Pop,,,
Fitness & Workout,,,
Hip-Hop/Rap,Alternative Rap,,
Hip-Hop/Rap,Avant-Garde,,
Hip-Hop/Rap,Bounce,,
Hip-Hop/Rap,Chap Hop,,
Hip-Hop/Rap,Christian Hip Hop,,
Hip-Hop/Rap,Conscious Hip Hop,,
Hip-Hop/Rap,Country-Rap,,
Hip-Hop/Rap,Grunk,,
Hip-Hop/Rap,Crunkcore,,
Hip-Hop/Rap,Cumbia Rap,,
Hip-Hop/Rap,Dirty South,,
Hip-Hop/Rap,East Coast,Brick City Club,
Hip-Hop/Rap,East Coast,Hardcore Hip Hop,
Hip-Hop/Rap,East Coast,Mafioso Rap,
Hip-Hop/Rap,East Coast,New Jersey Hip Hop,
Hip-Hop/Rap,Freestyle Rap,,
Hip-Hop/Rap,G-Funk,,
Hip-Hop/Rap,Gangsta Rap,,
Hip-Hop/Rap,Golden Age,,
Hip-Hop/Rap,Grime,,
Hip-Hop/Rap,Hardcore Rap,,
Hip-Hop/Rap,Hip-Hop,,
Hip-Hop/Rap,Hip Pop,,
Hip-Hop/Rap,Horrorcore,,
Hip-Hop/Rap,Hyphy,,
Hip-Hop/Rap,Industrial Hip Hop,,
Hip-Hop/Rap,Instrumental Hip Hop,,
Hip-Hop/Rap,Jazz Rap,,
Hip-Hop/Rap,Latin Rap,,
Hip-Hop/Rap,Low Bap,,
Hip-Hop/Rap,Lyrical Hip Hop,,
Hip-Hop/Rap,Merenrap,,
Hip-Hop/Rap,Midwest Hip Hop,Chicago Hip Hop,
Hip-Hop/Rap,Midwest Hip Hop,Detroit Hip Hop,
Hip-Hop/Rap,Midwest Hip Hop,Horrorcore,
Hip-Hop/Rap,Midwest Hip Hop,St. Louis Hip Hop,
Hip-Hop/Rap,Midwest Hip Hop,Twin Cities Hip Hop,
Hip-Hop/Rap,Motswako,,
Hip-Hop/Rap,Nerdcore,,
Hip-Hop/Rap,New Jack Swing,,
Hip-Hop/Rap,New School Hip Hop,,
Hip-Hop/Rap,Old School Rap,,
Hip-Hop/Rap,Rap,,
Hip-Hop/Rap,Trap,,
Hip-Hop/Rap,Turntablism,,
Hip-Hop/Rap,Underground Rap,,
Hip-Hop/Rap,West Coast Rap,,
Holiday,Chanukah,,
Holiday,Christmas,,
Holiday,Christmas: Children’s,,
Holiday,Christmas: Classic,,
Holiday,Christmas: Classical,,
Holiday,Christmas: Comedy,,
Holiday,Christmas: Jazz,,
Holiday,Christmas: Modern,,
Holiday,Christmas: Pop,,
Holiday,Christmas: R&B,,
Holiday,Christmas: Religious,,
Holiday,Christmas: Rock,,
Holiday,Easter,,
Holiday,Halloween,,
Holiday,Holiday: Other,,
Holiday,Thanksgiving,,
Indie Pop,Aggrotech,,
Industrial,Coldwave,,
Industrial,Cybergrind,,
Industrial,Dark Electro,,
Industrial,Death Industrial,,
Industrial,Electro-Industrial,,
Industrial,Electronic Body Music,Futurepop,
Industrial,Industrial Metal,Neue Deutsche Härte,
Industrial,Industrial Rock,,
Industrial,Noise,Japanoise,
Industrial,Noise,Power Electronics,
Industrial,Noise,Power Noise,
Industrial,Witch House,,
Inspirational – Christian & Gospel,CCM,,
Inspirational – Christian & Gospel,Christian Metal,,
Inspirational – Christian & Gospel,Christian Pop,,
Inspirational – Christian & Gospel,Christian Rap,,
Inspirational – Christian & Gospel,Christian Rock,,
Inspirational – Christian & Gospel,Classic Christian,,
Inspirational – Christian & Gospel,Contemporary Gospel,,
Inspirational – Christian & Gospel,Gospel,,
Inspirational – Christian & Gospel,Christian & Gospel,,
Inspirational – Christian & Gospel,Praise & Worship,,
Inspirational – Christian & Gospel,Qawwali,,
Inspirational – Christian & Gospel,Southern Gospel,,
Inspirational – Christian & Gospel,Traditional Gospel,,
Instrumental,March (Marching Band),,
J-Pop,J-Rock,,
J-Pop,J-Synth,,
J-Pop,J-Ska,,
J-Pop,J-Punk,,
Jazz,Acid Jazz,,
Jazz,Afro-Cuban Jazz,,
Jazz,Avant-Garde Jazz,,
Jazz,Bebop,,
Jazz,Big Band,,
Jazz,Blue Note,,
Jazz,British Dance Band (Jazz),,
Jazz,Cape Jazz,,
Jazz,Chamber Jazz,,
Jazz,Contemporary Jazz,,
Jazz,Continental Jazz,,
Jazz,Cool Jazz,,
Jazz,Crossover Jazz,,
Jazz,Dark Jazz,,
Jazz,Dixieland,,
Jazz,Early Jazz,,
Jazz,Electro Swing (Jazz),,
Jazz,Ethio-jazz,,
Jazz,Ethno-Jazz,,
Jazz,European Free Jazz,,
Jazz,Free Funk (Avant-Garde / Funk Jazz),,
Jazz,Free Jazz,,
Jazz,Fusion,,
Jazz,Gypsy Jazz,,
Jazz,Hard Bop,,
Jazz,Indo Jazz,,
Jazz,Jazz Blues,,
Jazz,Jazz-Funk (see Free Funk),,
Jazz,Jazz-Fusion,,
Jazz,Jazz Rap,,
Jazz,Jazz Rock,,
Jazz,Kansas City Jazz,,
Jazz,Latin Jazz,,
Jazz,M-Base Jazz,,
Jazz,Mainstream Jazz,,
Jazz,Modal Jazz,,
Jazz,Neo-Bop,,
Jazz,Neo-Swing,,
Jazz,Nu Jazz,,
Jazz,Orchestral Jazz,,
Jazz,Post-Bop,,
Jazz,Punk Jazz,,
Jazz,Ragtime,,
Jazz,Ska Jazz,,
Jazz,Skiffle (also Folk),,
Jazz,Smooth Jazz,,
Jazz,Soul Jazz,,
Jazz,Swing Jazz,,
Jazz,Straight-Ahead Jazz,,
Jazz,Trad Jazz,,
Jazz,Third Stream,,
Jazz,Jazz-Funk,,
Jazz,Free Jazz,,
Jazz,West Coast Jazz,,
K-Pop,,,
Karaoke,,,
Kayokyoku,,,
Latin,Alternativo & Rock Latino,,
Latin,Argentine Tango,,
Latin,Bachata,,
Latin,Baithak Gana,,
Latin,Baladas y Boleros,,
Latin,Bolero,,
Latin,Bossa Nova,,
Latin,Brazilian,Axé,
Latin,Brazilian,Bossa Nova,
Latin,Brazilian,Brazilian Rock,
Latin,Brazilian,Brega,
Latin,Brazilian,Choro,
Latin,Brazilian,Forró,
Latin,Brazilian,Frevo,
Latin,Brazilian,Funk Carioca,
Latin,Brazilian,Lambada,
Latin,Brazilian,Maracatu,
Latin,Brazilian,Música Popular Brasileira,
Latin,Brazilian,Música Sertaneja,
Latin,Brazilian,Pagode,
Latin,Brazilian,Samba,
Latin,Brazilian,Samba Rock,
Latin,Brazilian,Tecnobrega,
Latin,Brazilian,Tropicalia,
Latin,Chicha,Zouk-Lambada,
Latin,Criolla,,
Latin,Contemporary Latin,,
Latin,Cumbia,,
Latin,Flamenco / Spanish Flamenco,,
Latin,Huayno,,
Latin,"Joropo (popular style in Venezuela, and also in the llanos (plains) of Colombia)",,
Latin,Latin Jazz,,
Latin,Mambo (Cuba),,
Latin,Mariachi,,
Latin,Merengue Típico,,
Latin,Nuevo Flamenco,,
Latin,Pop Latino,,
Latin,Portuguese Fado,,
Latin,Punta,,
Latin,Punta Rock,,
Latin,Ranchera,,
Latin,Raíces,,
Latin,Raison,,
Latin,Reggaeton y Hip-Hop,,
Latin,Regional Mexicano,,
Latin,Salsa y Tropical,,
Latin,Soca,,
Latin,Son,,
Latin,Tejano,,
Latin,Timba,,
Latin,Twoubadou,,
Latin,Vallenato,,
Latin,Zouk,,
Metal,Heavy Metal,,
Metal,Speed Metal,,
Metal,Thrash Metal,,
Metal,Power Metal,,
Metal,Death Metal,,
Metal,Black Metal,,
Metal,Pagan Metal,,
Metal,Viking Metal,,
Metal,Folk Metal,,
Metal,Symphonic Metal,,
Metal,Gothic Metal,,
Metal,Glam Metal,,
Metal,Hair Metal,,
Metal,Doom Metal,,
Metal,Groove Metal,,
Metal,Industrial Metal,,
Metal,Modern Metal,,
Metal,Neoclassical Metal,,
Metal,New Wave Of British Heavy Metal,,
Metal,Post Metal,,
Metal,Progressive Metal,,
Metal,Avantgarde Metal,,
Metal,Sludge,,
Metal,Djent,,
Metal,Drone,,
Metal,Kawaii Metal,,
Metal,Pirate Metal,,
Metal,Nu Metal,,
Metal,Neue Deutsche Härte,,
Metal,Math Metal,,
Metal,Crossover,,
Metal,Grindcore,,
Metal,Hardcore,,
Metal,Metalcore,,
Metal,Deathcore,,
Metal,Post Hardcore,,
Metal,Mathcore,,
New Age,Environmental,,
New Age,Healing,,
New Age,Meditation,,
New Age,Nature,,
New Age,Relaxation,,
New Age,Travel,,
Opera,Adult Contemporary,,
Pop,Arab Pop,,
Pop,Baroque,,
Pop,Britpop,,
Pop,Bubblegum Pop,,
Pop,Chamber Pop,,
Pop,Chanson,,
Pop,Christian Pop,,
Pop,Classical Crossover,,
Pop,Europop,Austropop,
Pop,Europop,Balkan Pop,
Pop,Europop,French Pop,
Pop,Europop,Latin Pop,
Pop,Europop,Laïkó,
Pop,Europop,Nederpop,
Pop,Europop,Russian Pop,
Pop,Dance Pop,,
Pop,Dream Pop,,
Pop,Electro Pop,,
Pop,Iranian Pop,,
Pop,Jangle Pop,,
Pop,Latin Ballad,,
Pop,Levenslied,,
Pop,Louisiana Swamp Pop,,
Pop,Mexican Pop,,
Pop,Motorpop,,
Pop,New Romanticism,,
Pop,Orchestral Pop,,
Pop,Pop Rap,,
Pop,Popera,,
Pop,Pop/Rock,,
Pop,Pop Punk,,
Pop,Power Pop,,
Pop,Psychedelic Pop,,
Pop,Schlager,,
Pop,Soft Rock,,
Pop,Sophisti-Pop,,
Pop,Space Age Pop,,
Pop,Sunshine Pop,,
Pop,Surf Pop,,
Pop,Synthpop,,
Pop,Teen Pop,,
Pop,Traditional Pop Music,,
Pop,Turkish Pop,,
Pop,Vispop,,
Pop,Wonky Pop,,
Post-Disco,Boogie,,
Post-Disco,Dance-pop,,
Progressive,Progressive House / Trance,Disco House,
Progressive,Progressive House / Trance,Dream House,
Progressive,Progressive House / Trance,Space House,
Progressive,Progressive House / Trance,Japanese House,
Progressive,Progressive House / Trance,Bounce / Scouse House,
Progressive,Progressive Breaks,,
Progressive,Progressive Drum & Bass,,
Progressive,Progressive Techno,,
R&B/Soul,(Carolina) Beach Music,,
R&B/Soul,Contemporary R&B,,
R&B/Soul,Disco,,
R&B/Soul,Doo Wop,,
R&B/Soul,Funk,,
R&B/Soul,Modern Soul,,
R&B/Soul,Motown,,
R&B/Soul,Neo-Soul,,
R&B/Soul,Northern Soul,,
R&B/Soul,Psychedelic Soul,,
R&B/Soul,Quiet Storm,,
R&B/Soul,Soul,,
R&B/Soul,Soul Blues,,
R&B/Soul,Southern Soul,,
Reggae,2-Tone,,
Reggae,Dub,,
Reggae,Roots Reggae,,
Reggae,Reggae Fusion,,
Reggae,Reggae en Español,Spanish Reggae,
Reggae,Reggae en Español,Reggae 110,
Reggae,Reggae en Español,Reggae Bultrón,
Reggae,Reggae en Español,Romantic Flow,
Reggae,Lovers Rock,,
Reggae,Raggamuffin,Ragga,
Reggae,Raggamuffin,Dancehall,
Reggae,Ska,2 Tone,
Reggae,Ska,Dub,
Reggae,Ska,Rocksteady,
Rock,Acid Rock,,
Rock,Adult-Oriented Rock,,
Rock,Afro Punk,,
Rock,Adult Alternative,,
Rock,Alternative Rock,,
Rock,American Traditional Rock,,
Rock,Anatolian Rock,,
Rock,Arena Rock,,
Rock,Art Rock,,
Rock,Blues-Rock,,
Rock,British Invasion,,
Rock,Cock Rock,,
Rock,Death Metal / Black Metal,,
Rock,Doom Metal,,
Rock,Glam Rock,,
Rock,Gothic Metal,,
Rock,Grind Core,,
Rock,Hair Metal,,
Rock,Hard Rock,,
Rock,Math Metal,,
Rock,Math Rock,,
Rock,Metal,,
Rock,Metal Core,,
Rock,Noise Rock (genre – Japanoise),,
Rock,Jam Bands,,
Rock,Post Punk,,
Rock,Post Rock,,
Rock,Prog-Rock/Art Rock,,
Rock,Progressive Metal,,
Rock,Psychedelic,,
Rock,Rock & Roll,,
Rock,Rockabilly,,
Rock,Roots Rock,,
Rock,Singer/Songwriter,,
Rock,Southern Rock,,
Rock,Spazzcore,,
Rock,Stoner Metal (duuuude),,
Rock,Surf,,
Rock,Technical Death Metal,,
Rock,Tex-Mex,,
Rock,Thrash Metal,,
Rock,Time Lord Rock (Trock),,
Rock,Trip-hop,,
Rock,Yacht Rock (soft rock),,
Singer/Songwriter,Alternative Folk,,
Singer/Songwriter,Contemporary Folk,,
Singer/Songwriter,Contemporary Singer/Songwriter,,
Singer/Songwriter,Indie Folk,,
Singer/Songwriter,Folk-Rock,,
Singer/Songwriter,Love Song (Chanson),,
Singer/Songwriter,New Acoustic,,
Singer/Songwriter,Traditional Folk,,
Soundtrack,Foreign Cinema,,
Soundtrack,Movie Soundtrack,,
Soundtrack,Musicals,,
Soundtrack,Original Score,,
Soundtrack,Soundtrack,,
Soundtrack,TV Soundtrack,,
Spoken Word,,,
Tex-Mex / Tejano,Chicano,,
Tex-Mex / Tejano,Classic,,
Tex-Mex / Tejano,Conjunto,,
Tex-Mex / Tejano,Conjunto Progressive,,
Tex-Mex / Tejano,New Mex,,
Tex-Mex / Tejano,Tex-Mex,,
Vocal,A cappella,,
Vocal,Barbershop,,
Vocal,Cantique (sacred vocal),,
Vocal,Doo-wop,,
Vocal,Gregorian Chant,,
Vocal,Standards,,
Vocal,Traditional Pop,,
Vocal,Vocal Jazz,,
Vocal,Vocal Pop,,
Vocal,Yodel,,
World,Africa,African Heavy Metal,
World,Africa,African Hip Hop,
World,Africa,Afro-Beat,
World,Africa,Afro-House,
World,Africa,Afro-Pop,
World,Africa,Apala (or akpala),
World,Africa,Benga,
World,Africa,Bikutsi,
World,Africa,Bongo Flava,
World,Africa,Cape Jazz,
World,Africa,Chimurenga,
World,Africa,Coupé-Décalé,
World,Africa,Fuji Music,
World,Africa,Genge,
World,Africa,Gnawa (hypnotic trance),
World,Africa,Highlife,
World,Africa,Hiplife,
World,Africa,Isicathamiya,
World,Africa,Jit,
World,Africa,Jùjú,
World,Africa,Kapuka,
World,Africa,Kizomba,
World,Africa,Kuduro,
World,Africa,Kwaito,
World,Africa,Kwela,
World,Africa,Lingala (Rumba Lingala / Congolese Rumba),
World,Africa,Makossa,
World,Africa,Maloya,
World,Africa,Marrabenta,
World,Africa,Mbalax,
World,Africa,Mbaqanga,
World,Africa,Mbube,
World,Africa,Morna,
World,Africa,Museve,
World,Africa,Negro Spiritual,
World,Africa,Palm-Wine,
World,Africa,Raï,
World,Africa,Sakara,
World,Africa,Sega,
World,Africa,Seggae,
World,Africa,Semba,
World,Africa,Soukous,
World,Africa,Taarab,
World,Africa,Zouglou,
World,Asia,Anison,
World,Asia,Baithak Gana,
World,Asia,C-Pop,
World,Asia,CityPop,
World,Asia,Cantopop,
World,Asia,Enka,
World,Asia,Hong Kong English Pop,
World,Asia,Fann At-Tanbura,
World,Asia,Fijiri,
World,Asia,J-Pop,
World,Asia,Japanese Pop,
World,Asia,K-Pop,
World,Asia,Khaliji,
